UF;Município;Faixa etária;Gênero;Grau de instrução;Turno;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;LÊ E ESCREVE;1;104;0,8254;22;126;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;22;0,88;3;25;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;2;0,6667;1;3;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ANALFABETO;1;18;0,4865;19;37;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;12;0,8;3;15;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;77;0,875;11;88;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;29;0,8788;4;33;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;12;0,9231;1;13;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;LÊ E ESCREVE;1;58;0,8406;11;69;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;SUPERIOR COMPLETO;1;20;0,9524;1;21;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;1;0,5;1;2;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ANALFABETO;1;35;0,5224;32;67;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;15;0,8824;2;17;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;104;0,8125;24;128;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;30;0,9677;1;31;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;14;0,875;2;16;2025-04-30 07:09:09
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;LÊ E ESCREVE;1;73;0,8488;13;86;2025-04-30 07:09:09
