UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;SUPERIOR COMPLETO;41;0,9111;4;45;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;SUPERIOR INCOMPLETO;19;0,8636;3;22;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ANALFABETO;21;0,6176;13;34;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;17;0,7727;5;22;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;140;0,7865;38;178;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;156;0,9123;15;171;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;38;0,8444;7;45;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;LÊ E ESCREVE;67;0,8171;15;82;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;SUPERIOR COMPLETO;36;0,8372;7;43;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;23;0,8519;4;27;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ANALFABETO;27;0,75;9;36;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;10;0,8333;2;12;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;124;0,8921;15;139;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;126;0,9197;11;137;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;27;0,9;3;30;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;LÊ E ESCREVE;56;0,8485;10;66;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;SUPERIOR COMPLETO;35;0,9211;3;38;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;SUPERIOR INCOMPLETO;5;0,625;3;8;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ANALFABETO;18;0,4737;20;38;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;27;0,9;3;30;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;137;0,7697;41;178;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;78;0,8041;19;97;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;26;0,8125;6;32;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;LÊ E ESCREVE;69;0,7667;21;90;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;SUPERIOR COMPLETO;43;0,8269;9;52;2025-04-29 22:31:40
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;4;0,6667;2;6;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ANALFABETO;20;0,5405;17;37;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;13;0,9286;1;14;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;92;0,8598;15;107;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;60;0,8696;9;69;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;17;0,8947;2;19;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;LÊ E ESCREVE;71;0,9342;5;76;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;SUPERIOR COMPLETO;30;0,7692;9;39;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;FEMININO;SUPERIOR INCOMPLETO;3;1;0;3;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ANALFABETO;32;0,4776;35;67;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;23;0,9583;1;24;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;126;0,8182;28;154;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;70;0,9333;5;75;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;21;0,84;4;25;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;LÊ E ESCREVE;82;0,9213;7;89;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;SUPERIOR COMPLETO;33;0,9429;2;35;2025-04-29 22:31:40
AM;ALVARÃES;45 a 49 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;4;1;0;4;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ANALFABETO;27;0,5625;21;48;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;9;1;0;9;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;78;0,8667;12;90;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;31;0,8857;4;35;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;6;0,8571;1;7;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;LÊ E ESCREVE;54;0,9;6;60;2025-04-29 22:31:40
AM;ALVARÃES;50 a 54 anos                  ;FEMININO;SUPERIOR COMPLETO;21;0,913;2;23;2025-04-29 22:31:40
